,Brand,Generic,Uses
2749,onivyde,Irinotecan Liposomal,Irinotecan liposomal is used to treat cancer of the pancreas.
2750,onmel,Itraconazole,Itraconazole is used to treat a variety of fungal infections. It belongs to a class of drugs known as azole antifungals. It works by stopping the growth of fungi.
2751,onpattro,"Patisiran Sodium,Lipid Complex","This medication is used to treat nerve problems due to a certain inherited condition (transthyretin-mediated amyloidosis). This condition causes a protein that your body normally makes (transthyretin-TTR), to change shape and build up in different parts of your body, which can affect the nerves, heart, and gut. This medication works by decreasing the buildup of TTR in your body."
2752,ontruzant,Trastuzumab-Dttb,"Trastuzumab is used to treat certain types of breast, stomach, or esophagus cancer. This medication is used to treat tumors that produce more than the normal amount of a certain substance called HER2 protein. Trastuzumab belongs to a class of medications known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells. This monograph is about the following trastuzumab products: trastuzumab, trastuzumab-anns, trastuzumab-dkst, trastuzumab-dttb, trastuzumab-pkrb, trastuzumab-qyyp."
2753,onureg,Azacitidine,This medication is used to treat a certain type of cancer (acute myeloid leukemia). Azacitidine is a chemotherapy drug that works by slowing or stopping the growth of cancer cells. This form of azacitidine should not be used in place of the form given by injection.
2754,onzetra xsail,Sumatriptan Succinate,"Sumatriptan is used to treat migraines. It helps to relieve headache, pain, and other migraine symptoms (such as nausea, vomiting, sensitivity to light/sound). Prompt treatment helps you return to your normal routine and may decrease your need for other pain medications. Sumatriptan belongs to a class of drugs known as triptans. It affects a certain natural substance (serotonin) that narrows blood vessels in the brain. It may also relieve pain by affecting certain nerves in the brain. Sumatriptan does not prevent future migraines or lessen how often you get migraine attacks."
2755,opana,Oxymorphone HCl,Oxymorphone is used to help relieve moderate to severe pain. It belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.
2756,opana er,Oxymorphone HCl,"Oxymorphone extended-release is used to help relieve severe ongoing pain. It belongs to a class of drugs known as long-acting opioid analgesics. It works in the brain to change how your body feels and responds to pain. Do not use the extended-release form of oxymorphone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use."
2757,opdivo,Nivolumab,"Nivolumab is used to treat cancer. It works by changing the action of your own immune system, directing it to attack cancer cells. Nivolumab belongs to a class of drugs known as monoclonal antibodies."
2758,opium tincture,Opium Tincture,"This medication is used to treat diarrhea. It helps to decrease how often you have bowel movements. It works by slowing the movement of the intestines. Opium belongs to a class of drugs known as opioid pain relievers, but this medication acts mainly to slow the gut."
2759,opsumit,Macitentan,"Macitentan is used to treat high blood pressure in the lungs (pulmonary arterial hypertension). This condition is thought to be caused by increased levels of a certain natural substance (endothelin-1). This medication blocks the effects of endothelin-1, which helps decrease the blood pressure in the lungs, and reduces the risk of worsening of symptoms and hospital stays due to the disease."
2760,optison,Perflutren Protein-A Microsphr,Drug uses not available
2761,ora plus,Compound Vehicle Susp SF No.20,Drug uses not available
2762,ora-blend,Compounding Vehicle Susp No.19,Drug uses not available
2763,ora-blend sf,Compound Veh.Susp Sugar-Free 1,Drug uses not available
2764,ora-sweet,Compounding Vehicle Syrup No23,Drug uses not available
2765,ora-sweet-sf,Compound Vehicle Sugar-Free 9,Drug uses not available
2766,oracea,Doxycycline Monohydrate,"This medication is used to treat a certain type of skin condition called rosacea. It helps to reduce the number of pimples and bumps on the face, but it may not decrease redness. It works by reducing skin inflammation caused by rosacea. Although doxycycline belongs to the class of antibiotics known as tetracyclines, this product does not work as an antibiotic because it does not stop the growth of bacteria. Therefore, do not use this product to treat any infection, including viral infections (such as the common cold, flu). Use this medication only as prescribed by your doctor."
2767,oracit,Citric Acid/Sodium Citrate,"This medication is used to make the urine less acidic. Urine that is less acidic helps the kidneys get rid of uric acid, helping to prevent gout and certain types of kidney stones (urate). This medication can also prevent and treat certain metabolic problems (acidosis) caused by kidney disease. Citric acid and citrate salts (which contain potassium and sodium) belong to a class of drugs known as urinary alkalinizers. Because some conditions require you to limit your intake of potassium and sodium, your doctor's choice of product may depend on how much potassium and sodium you can take."
2768,oralair,Gr Pol-Orc/Sw Ver/Rye/Kent/Tim,"This medication is used to treat certain allergies that may occur seasonally or year round. It is an extract of certain plant pollens that can cause allergies. Before prescribing this medication, your doctor must do laboratory/medical tests (such as skin or IgE tests) to learn what you are allergic to. This pollen allergen extract works by making your body less sensitive to the pollens (such as ragweed, grasses) that cause your allergies. This medication will not work right away to relieve allergy symptoms. When taken as directed, it may help relieve symptoms such as sneezing, runny/stuffy nose, cough, or itchy/watery eyes that are caused by allergies."
2769,oralyte,Electrolytes/Dextrose,"This product is used to replace fluids and minerals (such as sodium, potassium) lost due to diarrhea and vomiting. It helps prevent or treat the dehydration. Having the right amount of fluids and minerals is important for the normal functioning of the body."
2770,oravig,Miconazole,This medication is used to treat fungal infection in the mouth or throat. Miconazole is known as an azole antifungal drug. It works by stopping the growth of fungus.
2771,orbactiv,Oritavancin Diphosphate,This medication is an antibiotic used to treat serious bacterial infections of the skin. It works by stopping the growth of bacteria.
2772,orencia,Abatacept,"This medication is used to treat rheumatoid arthritis, a condition in which the body's own defense system (immune system) attacks healthy tissue. This leads to swelling in the joints, which causes pain and makes it harder to move. Abatacept works by weakening your immune system. This effect helps to slow down joint damage and reduce joint pain and swelling so you can move better. This medication is also used to treat other types of arthritis (such as juvenile idiopathic arthritis, psoriatic arthritis)."
2773,orencia clickject,Abatacept,"This medication is used to treat rheumatoid arthritis, a condition in which the body's own defense system (immune system) attacks healthy tissue. This leads to swelling in the joints, which causes pain and makes it harder to move. Abatacept works by weakening your immune system. This effect helps to slow down joint damage and reduce joint pain and swelling so you can move better. This medication is also used to treat other types of arthritis (such as juvenile idiopathic arthritis, psoriatic arthritis)."
2774,orenitram er,Treprostinil Diolamine,This medication is used to treat a type of high blood pressure in the lungs (pulmonary arterial hypertension). Treprostinil helps to delay disease worsening and increase your ability to exercise. It works by relaxing and widening the blood vessels (arteries) in the lungs and other parts of the body so that blood can flow more easily. This medication belongs to a class of drugs known as vasodilators.
2775,orfadin,Nitisinone,"Nitisinone is used to treat a certain inherited disorder (hereditary tyrosinemia type 1, also known as HT-1). HT-1 is usually discovered in infants and needs lifelong treatment. This condition is caused by a shortage of a certain natural substance that is needed to break down a nutrient (tyrosine) found in food. This effect causes a build-up of too much tyrosine and related substances in the liver. Nitisinone works by helping to prevent the formation and build-up of several toxic substances that cause damage to the liver, kidneys, and nervous system. This drug must be used along with a diet low in protein, tyrosine, and phenylalanine."
2776,oriahnn,Elagolix/Estradiol/Norethindrn,"This product has 2 different capsules. One capsule contains a combination of 3 medications: elagolix, estradiol, and norethindrone. The other capsule contains only elagolix. It is used by women who have not gone through menopause to help manage heavy menstrual bleeding due to uterine fibroids. Elagolix works by decreasing your body's production of certain hormones (luteinizing hormone, follicle-stimulating hormone), which leads to lower amounts of female sex hormones (estrogens). Estradiol is used to decrease bone loss caused by elagolix, while norethindrone is used to help lessen the risk of cancer of the uterus due to estradiol."
2777,orilissa,Elagolix Sodium,"This medication is used by women to help relieve moderate to severe pain due to a condition called endometriosis. Endometriosis is the growth of tissue that normally lines the inside of the womb (uterus) in a different place, such as on the outside surface of the uterus, on the ovaries, or on other organs. This condition may cause symptoms such as painful/heavy/irregular menstrual periods, pain during or after sex, or infertility. Elagolix works by decreasing your body's production of certain hormones (luteinizing hormone, follicle-stimulating hormone), which leads to lower amounts of female sex hormones (estrogens). These lower levels may help decrease some symptoms of endometriosis."
2778,orkambi,Lumacaftor/IVacaftor,"This medication is a combination of 2 medications: lumacaftor and ivacaftor. It is used to treat cystic fibrosis in certain people (those with 2 copies of an abnormal ""CFTR"" gene). It may help to improve breathing, reduce the risk of lung infections, and improve weight gain."
2779,orphenadrine citrate,Orphenadrine Citrate,"Orphenadrine is used to treat muscle spasms/pain. It is usually used along with rest, physical therapy, and other treatment."
2780,orphenadrine citrate er,Orphenadrine Citrate,"Orphenadrine is used to treat muscle spasms/pain. It is usually used along with rest, physical therapy, and other treatment."
2781,orsythia,Levonorgestrel/Ethin.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
2782,ortho evra,Norelgestromin/Ethin.Estradiol,"This patch contains combination hormone medication and is used to prevent pregnancy. It contains 2 hormones: a progestin (norelgestromin) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
2783,ortho micronor,Norethindrone,"This medication is used to prevent pregnancy. It is often referred to as the ""mini-pill"" because it does not contain any estrogen. Norethindrone (a form of progestin) is a hormone that prevents pregnancy by making vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changing the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. This medication also stops the release of an egg (ovulation) in about half of a woman's menstrual cycles. While the ""mini-pill"" is more effective than certain other methods of birth control (such as condoms, cervical cap, diaphragm), it is less effective than combination hormone (estrogen and progestin) birth control because it does not consistently prevent ovulation. It is usually used by women who cannot take estrogen. To reduce the risk of pregnancy, it is very important to take this medication exactly as prescribed. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
2784,ortho tri-cyclen,Norgestimate-Ethinyl Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
2785,ortho tri-cyclen lo,Norgestimate-Ethinyl Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
2786,orthovisc,Hyaluronate Sodium,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
2787,ortikos,Budesonide,"This medication is used to treat a certain bowel condition (Crohn's disease). While budesonide does not cure this condition, it may decrease symptoms such as pain and diarrhea. Budesonide is an anti-inflammatory drug (corticosteroid hormone). It works by decreasing the body's natural defense response (immune response)."
2788,os-cal 500-vit d3,Calcium Carbonate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
2789,oscimin,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (e.g., saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics."
2790,oscimin sr,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (such as saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics."
2791,oscimin sl,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (e.g., saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics."
2792,oseltamivir phosphate,Oseltamivir Phosphate,"Oseltamivir is used to treat symptoms caused by the flu virus (influenza). It helps make the symptoms (such as stuffy nose, cough, sore throat, fever/chills, aches, tiredness) less severe and shortens the recovery time by 1-2 days. This medication may also be used to prevent the flu if you have been exposed to someone who already has the flu (such as a sick household member) or if there is a flu outbreak in the community. Talk to your doctor for more details. This medication works by stopping the flu virus from growing. It is not a substitute for the flu vaccine. (See also Notes section.)"
2793,oseni,Alogliptin Benz/Pioglitazone,"This combination medication is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This product contains 2 medications: alogliptin and pioglitazone. Alogliptin works by increasing levels of natural substances called incretins. Incretins help to control blood sugar by increasing insulin release, especially after a meal. They also decrease the amount of sugar your liver makes. Pioglitazone works by helping to restore your body's proper response to insulin."
2794,osmitrol,Mannitol,Drug uses not available
2795,osmolex er,Amantadine HCl,This medication is used to treat Parkinson's disease. It is also used to treat certain movement disorders caused by some drugs (extrapyramidal reactions). This medication is thought to work by restoring the balance of certain natural substances (neurotransmitters) in the brain. Different brands of this medication may have different uses. Do not change brands of this medication unless directed by your doctor.
2796,osmoprep,"Sod Phosphate Mbas/Sod Phos,Di","This medication is used to clean out the intestines before a colonoscopy. Sodium phosphate is a laxative that works by drawing large amounts of water into the colon, causing you to have watery bowel movements. This cleans out the intestines so that your doctor can clearly view them during your colonoscopy. This medication should not be used for weight loss or constipation due to the possibility of severe side effects."
2797,osphena,Ospemifene,"This medication is used to treat painful sexual intercourse and vaginal dryness in women after menopause. Painful intercourse and vaginal dryness are symptoms of changes in and around your vagina, due to menopause. This drug is different from hormones (including estrogens and progestins). It works by acting like estrogen in some parts of the body. Ospemifene belongs to a class of drugs known as selective estrogen receptor modulators (SERM)."
2798,otezla,Apremilast,"This medication is used to treat a certain type of arthritis (psoriatic arthritis). Apremilast is also used to treat a certain type of skin condition (moderate to severe plaque psoriasis). Apremilast belongs to a class of drugs known as phosphodiesterase 4 (PDE4) inhibitors. For the treatment of psoriatic arthritis, it decreases pain and swelling, and may help improve flexibility in the affected joints. For the treatment of plaque psoriasis, it may help to reduce the redness, thickening, and scaling of the skin that occurs with this condition. Apremilast is also used to treat mouth sores in people who have Behcet's disease. It helps to reduce the pain and improve the healing of these mouth sores."
2799,otiprio,Ciprofloxacin,Ciprofloxacin is used to treat bacterial ear infections (such as swimmer's ear or ear canal infections). It works by stopping the growth of bacteria. This medication belongs to a class of drugs called quinolone antibiotics. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Using any antibiotic when it is not needed can cause it to not work for future infections.
2800,otovel,Ciprofloxacin HCl/Fluocinolone,This medication is used to treat ear infections for children who have a tube in their ears. This medication contains ciprofloxacin (a quinolone antibiotic) and fluocinolone (a corticosteroid). This product works by stopping the growth of bacteria and reducing ear inflammation and discomfort. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Using any antibiotic when it is not needed can cause it to not work for future infections.
2801,otrexup,Methotrexate/PF,Methotrexate is used to control severe psoriasis or rheumatoid arthritis that has not responded to other treatments. It may also be used to control juvenile rheumatoid arthritis. Methotrexate belongs to a class of drugs known as antimetabolites. It works by suppressing the immune system. Early treatment of rheumatoid arthritis with more aggressive therapy such as methotrexate helps to reduce further joint damage and to preserve joint function.
2802,ovace plus,Sulfacetamide Sodium,This medication is used to treat dandruff and other skin conditions (such as seborrheic dermatitis). It is also used to treat certain bacterial skin infections associated with these conditions.
2803,ovide,Malathion,"This medication is used to treat head lice, tiny insects that infest and irritate your scalp. Malathion belongs to a class of drugs known as organophosphates. It works by paralyzing and killing lice and their eggs (nits). This drug is not recommended for use in newborns or infants younger than 1 year."
2804,ovidrel,Choriogonadotropin Alfa,"This medication is used as part of a treatment program for certain fertility problems in women. It is generally used in combination with another hormone (FSH). This medication provides the hormone (hCG), which stimulates the release of a mature egg (ovulation) and helps you become pregnant. This medication is not recommended for women whose ovaries no longer make eggs properly (primary ovarian failure). This medication has not been shown to be effective for weight loss and should not be used for this purpose due to risk of serious side effects."
2805,oxacillin,Oxacillin In Dextrose(Iso-Osm),Oxacillin is used to treat a wide variety of bacterial infections. It is a penicillin antibiotic. It works by stopping the growth of bacteria.
2806,oxacillin sodium,Oxacillin Sodium,Oxacillin is used to treat a wide variety of bacterial infections. It is a penicillin antibiotic. It works by stopping the growth of bacteria.
2807,oxaliplatin,Oxaliplatin,This medication is used to treat advanced cancer of the colon and rectum. Oxaliplatin is a chemotherapy drug that contains platinum. It is used to slow or stop cancer cell growth.
2808,ox&rolone,Oxandrolone,"This medication is used to help people regain weight they have lost due to certain medical conditions (such as surgery, chronic infection, trauma, long term use of corticosteroid medication such as hydrocortisone/prednisone). It is also used to relieve bone pain due to bone loss (osteoporosis). Oxandrolone belongs to a class of drugs known as anabolic steroids. These drugs are similar to male hormones made by the body."
2809,oxaprozin,Oxaprozin,"Oxaprozin is used to treat arthritis. It reduces pain, swelling, and stiffness of the joints. Oxaprozin is known as a nonsteroidal anti-inflammatory drug (NSAID). If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section."
2810,oxaydo,Oxycodone HCl,This medication is used to help relieve moderate to severe pain. Oxycodone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.
2811,oxazepam,Oxazepam,Oxazepam is used to treat anxiety and also acute alcohol withdrawal. This medication belongs to a class of drugs called benzodiazepines which act on the brain and nerves (central nervous system) to produce a calming and an anti-seizure effect. It works by enhancing the effects of a certain natural substance in the body (GABA). This medication may also be used for sleep (insomnia)
2812,oxbryta,Voxelotor,"This medication is used to treat sickle cell disease. People with sickle cell disease have a certain abnormal protein (hemoglobin S) in their red blood cells that makes the cells stiff and irregularly shaped (sickle- or crescent moon-shaped). Voxelotor works by decreasing hemoglobin S. This effect may decrease symptoms such as tiredness, shortness of breath, and attacks of pain (sickle cell crisis)."
2813,oxcarbazepine,Oxcarbazepine,Oxcarbazepine is used alone or with other medications to treat seizure disorders (epilepsy).
2814,oxervate,Cenegermin-Bkbj,This medication is used to treat a certain eye disorder (neurotrophic keratitis) that causes a loss of nerve function to a certain part of your eye (the cornea). Cenegermin-bkbj is a man-made form of a substance made by your body. It is used by your body to help maintain and make more nerve cells in your eyes. This medication may help prevent decreased vision or loss of vision caused by neurotrophic keratitis.
2815,oxiconazole nitrate,Oxiconazole Nitrate,"Oxiconazole is used to treat skin infections such as athlete's foot, jock itch and ringworm. This medication is also used to treat a skin condition known as pityriasis (tinea versicolor), a fungal infection that causes a lightening or darkening of the skin of the neck, chest, arms, or legs. Oxiconazole is an azole antifungal that works by preventing the growth of fungus."
2816,oxistat,Oxiconazole Nitrate,"Oxiconazole is used to treat skin infections such as athlete's foot, jock itch and ringworm. This medication is also used to treat a skin condition known as pityriasis (tinea versicolor), a fungal infection that causes a lightening or darkening of the skin of the neck, chest, arms, or legs. Oxiconazole is an azole antifungal that works by preventing the growth of fungus."
2817,oxtellar xr,Oxcarbazepine,Oxcarbazepine is used with other medications to treat seizure disorders (epilepsy).
2818,oxybutynin chloride,Oxybutynin Chloride,"Oxybutynin is used to treat certain bladder and urinary conditions (e.g., overactive bladder). It relaxes the muscles in the bladder to help decrease problems of urgency and frequent urination. Oxybutynin belongs to a class of drugs known as antispasmodics. The manufacturer does not recommend using this medication in children younger than 5 years of age."
2819,oxybutynin chloride er,Oxybutynin Chloride,"This is a long-acting form of oxybutynin that is used to treat overactive bladder and urinary conditions. It relaxes the muscles in the bladder to help decrease problems of urgency and frequent urination. Oxybutynin belongs to a class of drugs known as antispasmodics. This medication is also used to treat children 6 years of age and older who have an overactive bladder due to certain nerve disorders (e.g., spina bifida)."
2820,oxycodone hcl,Oxycodone HCl,This medication is used to help relieve moderate to severe pain. Oxycodone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.
2821,oxycodone hcl er,Oxycodone HCl,"This medication is used to help relieve severe ongoing pain (such as due to cancer). Oxycodone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. The higher strengths of this drug (more than 40 milligrams per tablet) should be used only if you have been regularly taking moderate to large amounts of an opioid pain medication. These strengths may cause overdose (even death) if taken by a person who has not been regularly taking opioids. Do not use the extended-release form of oxycodone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use."
2822,oxycodone hcl-aspirin,Oxycodone HCl/Aspirin,"This medication is used to relieve moderate to moderately severe pain. It contains 2 pain relievers: oxycodone and aspirin. Oxycodone is an opioid pain reliever that acts on certain parts of the brain to relieve pain. Aspirin is known as a salicylate and a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking a certain natural substance in your body to reduce pain and swelling, therefore making you more comfortable and more able to function normally."
2823,oxycodone hcl-ibuprofen,Ibuprofen/Oxycodone HCl,This medication is used for the short-term treatment of moderate to severe pain. It contains 2 pain relievers: oxycodone and ibuprofen. Oxycodone is an opioid pain reliever that acts on certain parts of the brain to relieve pain. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) that works by blocking a certain natural substance in your body to reduce pain and swelling.
2824,oxycodone-acetaminophen,Oxycodone HCl/Acetaminophen,This combination medication is used to help relieve moderate to severe pain. It contains an opioid pain reliever (oxycodone) and a non-opioid pain reliever (acetaminophen). Oxycodone works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever.
2825,oxycontin,Oxycodone HCl,"This medication is used to help relieve severe ongoing pain (such as due to cancer). Oxycodone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. The higher strengths of this drug (more than 40 milligrams per tablet) should be used only if you have been regularly taking moderate to large amounts of an opioid pain medication. These strengths may cause overdose (even death) if taken by a person who has not been regularly taking opioids. Do not use the extended-release form of oxycodone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use."
2826,oxymorphone hcl,Oxymorphone HCl,Oxymorphone is used to help relieve moderate to severe pain. It belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.
2827,oxymorphone hcl er,Oxymorphone HCl,"Oxymorphone extended-release is used to help relieve severe ongoing pain. It belongs to a class of drugs known as long-acting opioid analgesics. It works in the brain to change how your body feels and responds to pain. Do not use the extended-release form of oxymorphone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use."
2828,oxytocin,Oxytocin,Drug uses not available
2829,oxytrol,Oxybutynin,"Oxybutynin is used to treat an overactive bladder. By relaxing the muscles in the bladder, oxybutynin improves symptoms such as the inability to control urination (incontinence), feeling that one has to urinate (urgency), and having to go to the bathroom often (frequency). This medication belongs to the class of drugs known as antispasmodics. This medication is not recommended for use in children younger than 5 years of age. Consult your doctor for more information. Unless otherwise directed by your doctor, the over-the-counter product should only be used by adult women who have symptoms of overactive bladder for at least 2 months. For over-the-counter products, carefully read the package instructions to make sure the product is right for you. Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
2830,oysco 500-vit d3,Calcium Carbonate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
2831,oysco-500,Calcium Carbonate,"This medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (e.g., women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Having the right amount of calcium is important for building and keeping strong bones."
2832,oyster shell calcium,Calcium Carbonate,"This medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (e.g., women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Having the right amount of calcium is important for building and keeping strong bones."
